Specimen_Collection_Date,Specimen_Collection_Location,Specimen_Collection_Location_Country,Specimen_Collection_Location_Longitude,Gene_Symbol,Specimen_Collection_Location_Latitude
"",,,,qnrB26,
"",,,,qnrB27,
"",,,,qnrB28,
"",,,,qnrB29,
"",,,,qnrB3,
"",,,,qnrB30,
"",,,,qnrB31,
"",,,,qnrB32,
"",,,,qnrB33,
"",,,,qnrB34,
"",,,,qnrB35,
"",,,,qnrB36,
"",,,,qnrB37,
"",,,,qnrB38,
"",,,,qnrB4,
"",,,,qnrB40,
"",,,,qnrB41,
"",,,,qnrB42,
"",,,,qnrB43,
"",,,,qnrB44,
"",,,,qnrB45,
"",,,,qnrB46,
"",,,,qnrB47,
"",,,,qnrB48,
"",,,,qnrB49,
"",,,,qnrB5,
"",,,,qnrB50,
"",,,,qnrB54,
"",,,,qnrB55,
"",,,,qnrB56,
"",,,,qnrB57,
"",,,,qnrB58,
"",,,,qnrB59,
"",,,,qnrB6,
"",,,,qnrB60,
"",,,,qnrB61,
"",,,,qnrB62,
"",,,,qnrB64,
"",,,,qnrB65,
"",,,,qnrB66,
"",,,,qnrB67,
"",,,,qnrB68,
"",,,,qnrB69,
"",,,,qnrB7,
"",,,,qnrB70,
"",,,,qnrB71,
"",,,,qnrB72,
"",,,,qnrB73,
"",,,,qnrB74,
"",,,,qnrB8,
"",,,,qnrB9,
2006,,China,,qnrC,
2007," Cleveland",United States of America,-81.6934446,qnrD1,41.5051613
"",,,,qnrD2,
"",,,,qnrS1,
"",,,,qnrS2,
""," KL",Malaysia,101.6943028,qnrS3,3.1516636
"",,,,qnrS4,
29-Oct-1992," Vancouver",Canada,-123.12,qnrS5,49.24
"",,,,qnrS6,
"",,,,qnrS7,
"",,,,qnrS8,
"",,,,qnrS9,
2007-01-23,UnknownXXX,United Kingdom,-3.2765753,qnrVC1,54.7023545
"",,,,qnrVC3,
2006/2012,UnknownXXX,Netherlands,5.53460738162,qnrVC4,52.2379891
"",,,,qnrVC5,
"",,,,qnrVC6,
"",,,,qnrVC7,
"",,,,rif,
2007-01-22,UnknownXXX,United Kingdom,-3.2765753,rlmA,54.7023545
"",,,,sat,
"",,,,sat,
2008," Singapore General Hospital",Singapore,103.836280497,sat,1.27944885
2006/2012,UnknownXXX,Netherlands,5.53460738162,sat,52.2379891
"",,,,uhpT,
"",,,,vanS,
"",,,,aad(6),
"",,,,aad9,
2012,UnknownXXX,China,104.999927,aadA,35.000074
2012,UnknownXXX,China,104.999927,aadA1,35.000074
"",,,,aadA10,
"",,,,aadA11,
"",,,,aadA12,
"",,,,aadA13,
"",,,,aadA14,
"",,,,aadA15,
2007-12-11,UnknownXXX,United Kingdom,-3.2765753,aadA16,54.7023545
"",,Portugal,,aadA17,
31-Jan-1990," Alberta",Canada,-115.002136,aadA2,55.001251
"",,,,aadA21,
2012,UnknownXXX,China,104.999927,aadA22,35.000074
01-Jul-2009,UnknownXXX,United States of America,-78.9,aadA23,36
"",,,,aadA24,
"",,,,aadA25,
2015,UnknownXXX,Thailand,100.83273,aadA3,14.8971921
"",,,,aadA4,
"",,,,aadA5,
18-Aug-1997," Buffalo, NY",United States of America,-78.8784,aadA6,42.8864
"",,,,aadA6/aadA10,
26-Oct-2006," CA",United States of America,-118.7559974,aadA7,36.7014631
"",,,,aadA8,
"",,,,aadA8b,
"",,,,aadA9,
"",,,,aadC,
2004,England,United Kingdom,-0.540240286617,aadD,52.7954791
